A7EE	1100	ь
A7EF	1101	э
A7F0	1102	ю
A7F1	1103	я
A8A1	257	ā
A8A2	225	á
A8A3	462	ǎ
A8A4	224	à
A8A5	275	ē
A8A6	233	é
A8A7	283	ě
A8A8	232	è
A8A9	299	ī
A8AA	237	í
A8AB	464	ǐ
A8AC	236	ì
A8AD	333	ō
A8AE	243	ó
A8AF	466	ǒ
A8B0	242	ò
A8B1	363	ū
A8B2	250	ú
A8B3	468	ǔ
A8B4	249	ù
A8B5	470	ǖ
A8B6	472	ǘ
A8B7	474	ǚ
A8B8	476	ǜ
A8B9	252	ü
A8BA	234	ê
A8C5	12549	ㄅ
A8C6	12550	ㄆ
A8C7	12551	ㄇ
A8C8	12552	ㄈ
A8C9	12553	ㄉ
A8CA	12554	ㄊ
A8CB	12555	ㄋ
A8CC	12556	ㄌ
A8CD	12557	ㄍ
A8CE	12558	ㄎ
A8CF	12559	ㄏ
A8D0	12560	ㄐ
A8D1	12561	ㄑ
A8D2	12562	ㄒ
A8D3	12563	ㄓ
A8D4	12564	ㄔ
A8D5	12565	ㄕ
A8D6	12566	ㄖ
A8D7	12567	ㄗ
A8D8	12568	ㄘ
A8D9	12569	ㄙ
A8DA	12570	ㄚ
A8DB	12571	ㄛ
A8DC	12572	ㄜ
A8DD	12573	ㄝ
A8DE	12574	ㄞ
A8DF	12575	ㄟ
A8E0	12576	ㄠ
A8E1	12577	ㄡ
A8E2	12578	ㄢ
A8E3	12579	ㄣ
A8E4	12580	ㄤ
A8E5	12581	ㄥ
A8E6	12582	ㄦ
A8E7	12583	ㄧ
A8E8	12584	ㄨ
A8E9	12585	ㄩ
A9A4	9472	─
A9A5	9473	━
A9A6	9474	│
A9A7	9475	┃
A9A8	9476	┄
A9A9	9477	┅
A9AA	9478	┆
A9AB	9479	┇
A9AC	9480	┈
A9AD	9481	┉
A9AE	9482	┊
A9AF	9483	┋
A9B0	9484	┌
A9B1	9485	┍
A9B2	9486	┎
A9B3	9487	┏
A9B4	9488	┐
A9B5	9489	┑
A9B6	9490	┒
A9B7	9491	┓
A9B8	9492	└
A9B9	9493	┕
A9BA	9494	┖
A9BB	9495	┗
A9BC	9496	┘
A9BD	9497	┙
A9BE	9498	┚
A9BF	9499	┛
A9C0	9500	├
A9C1	9501	┝
A9C2	9502	┞
A9C3	9503	┟
A9C4	9504	┠
A9C5	9505	┡
A9C6	9506	┢
A9C7	9507	┣
A9C8	9508	┤
A9C9	9509	┥
A9CA	9510	┦
A9CB	9511	┧
A9CC	9512	┨
A9CD	9513	┩
A9CE	9514	┪
A9CF	9515	┫
A9D0	9516	┬
A9D1	9517	┭
A9D2	9518	┮
A9D3	9519	┯
A9D4	9520	┰
A9D5	9521	┱
A9D6	9522	┲
A9D7	9523	┳
A9D8	9524	┴
A9D9	9525	┵
A9DA	9526	┶
A9DB	9527	┷
A9DC	9528	┸
A9DD	9529	┹
A9DE	9530	┺
A9DF	9531	┻
A9E0	9532	┼
A9E1	9533	┽
A9E2	9534	┾
A9E3	9535	┿
A9E4	9536	╀
A9E5	9537	╁
A9E6	9538	╂
A9E7	9539	╃
A9E8	9540	╄
A9E9	9541	╅
A9EA	9542	╆
A9EB	9543	╇
A9EC	9544	╈
A9ED	9545	╉
A9EE	9546	╊
A9EF	9547	╋
B0A1	21834	啊
B0A2	38463	阿
B0A3	22467	埃
B0A4	25384	挨
B0A5	21710	哎
B0A6	21769	唉
B0A7	21696	哀
B0A8	30353	皑
B0A9	30284	癌
B0AA	34108	蔼
B0AB	30702	矮
B0AC	33406	艾
B0AD	30861	碍
B0AE	29233	爱
B0AF	38552	隘
B0B0	38797	鞍
B0B1	27688	氨
B0B2	23433	安
B0B3	20474	俺
B0B4	25353	按
B0B5	26263	暗
B0B6	23736	岸
B0B7	33018	胺
B0B8	26696	案
B0B9	32942	肮
B0BA	26114	昂
B0BB	30414	盎
B0BC	20985	凹
B0BD	25942	敖
B0BE	29100	熬
B0BF	32753	翱
B0C0	34948	袄
B0C1	20658	傲
B0C2	22885	奥
B0C3	25034	懊
B0C4	28595	澳
B0C5	33453	芭
B0C6	25420	捌
B0C7	25170	扒
B0C8	21485	叭
B0C9	21543	吧
B0CA	31494	笆
B0CB	20843	八
B0CC	30116	疤
B0CD	24052	巴
B0CE	25300	拔
B0CF	36299	跋
B0D0	38774	靶
B0D1	25226	把
B0D2	32793	耙
B0D3	22365	坝
B0D4	38712	霸
B0D5	32610	罢
B0D6	29240	爸
B0D7	30333	白
B0D8	26575	柏
B0D9	30334	百
B0DA	25670	摆
B0DB	20336	佰
B0DC	36133	败
B0DD	25308	拜
B0DE	31255	稗
B0DF	26001	斑
B0E0	29677	班
B0E1	25644	搬
B0E2	25203	扳
B0E3	33324	般
B0E4	39041	颁
B0E5	26495	板
B0E6	29256	版
B0E7	25198	扮
B0E8	25292	拌
B0E9	20276	伴
B0EA	29923	瓣
B0EB	21322	半
B0EC	21150	办
B0ED	32458	绊
B0EE	37030	邦
B0EF	24110	帮
B0F0	26758	梆
B0F1	27036	榜
B0F2	33152	膀
B0F3	32465	绑
B0F4	26834	棒
B0F5	30917	磅
B0F6	34444	蚌
B0F7	38225	镑
B0F8	20621	傍
B0F9	35876	谤
B0FA	33502	苞
B0FB	32990	胞
B0FC	21253	包
B0FD	35090	褒
B0FE	21093	剥
B1A1	34180	薄
B1A2	38649	雹
B1A3	20445	保
B1A4	22561	堡
B1A5	39281	饱
B1A6	23453	宝
B1A7	25265	抱
B1A8	25253	报
B1A9	26292	暴
B1AA	35961	豹
B1AB	40077	鲍
B1AC	29190	爆
B1AD	26479	杯
B1AE	30865	碑
B1AF	24754	悲
